Category,description
positive,in the asia-pacific region visa wave is available in malaysia taiwan and south korea and will be expanded to japan and southeast asia this year jung added .
negative,konecranes oyj kcr1v fh fell 5.5 percent to 20.51 euro the biggest fall since june .
negative,net sale for the financial year 2006 are expected to amount to about eur20m and the operating result ebit is expected to be a loss a announced before .
negative,production level have been agreed with producer a long time ago so a fall in consumption will lead to loss .
negative,return on investment roi wa 4.1 compared to 43.8 in the first half of 2008 .
negative,the sale will result in a capital loss of eur5m for solidium which obtained tikkurila share in march 2010 .
neutral,- the group - s result before tax wa a loss of eur 0.6 ( +0.6 ) million .
neutral,the fair value of investment property wa eur 2 251.0 ( 1 281.4 ) million .
negative,finnish medium group talentum ha issued a profit warning .
negative,finnish shipping company finnlines pretax loss totalled eur 6.5 mn in the third quarter of 2009 compared to a profit of eur 0.3 mn in the third quarter of 2008 .
negative,acando ab ( acanb s ) fell 8.9 percent to 13.35 kronor the lowest close since dec. 11 .
neutral,according shipping company viking line the eu decision will have a significant financial impact .
negative,according to ceo matti perkonoja of the parent company hkscan the company performance in the first quarter of 2010 ha remained clearly below the level of the corresponding period in 2009 .
neutral,at some point in 2010 all separate company name such a palmberg tekmanni lemcon forssan betoni suonenjoen betonituote among others will disappear .
negative,cencorp net sale in the first quarter is estimated to be eur0.9-1 .2 m a compared to eur4 .5 m in the first quarter 2008 .
negative,diluted earnings per share ( eps ) stood at eur 0.25 versus eur 0.42 .
negative,earnings per share ( eps ) amounted to a loss of eur0 .05 .
negative,earnings per share ( eps ) amounted to a loss of eur0 .38 .
negative,earnings per share ( eps ) amounted to a loss of to eur0 .06 .
negative,expense ratio wa 102.6 compared to 92.9 in the corresponding period in 2005 .
negative,finnish automation solution developer cencorp corporation ( omx helsinki : cnc1v ) issued on thursday ( 18 september ) a profit warning for the third quarter of 2008 .
negative,finnish communication electronics component supplier scanfil oyj tuesday said sale in the first half of 2006 will be 15 lower than during the same period a year ago .
negative,finnish forest industry group stora enso oyj issued on thursday ( 20 march ) a profit warning for the first quarter 2008 .
neutral,finnish home decoration and art and craft retailer tiimari plc ( omx helsinki : tii1v ) reported on monday ( 18 august ) an operating loss of eur3 .3 m on net sale of eur33 .9 m for the period january-june 2008 .
